Iteration,Execution Time
1,0.0243
2,0.0079
3,0.0080
4,0.0075
5,0.0077
6,0.0079
7,0.0078
8,0.0086
9,0.0084
10,0.0076
11,0.0078
12,0.0080
13,0.0078
14,0.0082
15,0.0082
16,0.0081
17,0.0083
18,0.0080
19,0.0085
20,0.0084
21,0.0093
22,0.0090
23,0.0081
24,0.0087
25,0.0084
26,0.0079
27,0.0086
28,0.0085
29,0.0085
30,0.0085
31,0.0086
32,0.0086
33,0.0085
34,0.0087
35,0.0086
36,0.0090
37,0.0085
38,0.0074
39,0.0077
40,0.0081
41,0.0089
42,0.0078
43,0.0086
44,0.0078
45,0.0079
46,0.0083
47,0.0073
48,0.0077
49,0.0088
50,0.0089
51,0.0090
52,0.0083
53,0.0077
54,0.0084
55,0.0084
56,0.0084
57,0.0080
58,0.0087
59,0.0086
60,0.0086
61,0.0084
62,0.0089
63,0.0084
64,0.0085
65,0.0085
66,0.0088
67,0.0086
68,0.0086
69,0.0087
70,0.0088
71,0.0094
72,0.0089
73,0.0096
74,0.0090
75,0.0092
76,0.0094
77,0.0086
78,0.0087
79,0.0088
80,0.0091
81,0.0093
82,0.0094
83,0.0091
84,0.0086
85,0.0083
86,0.0090
87,0.0085
88,0.0079
89,0.0079
90,0.0077
91,0.0089
92,0.0087
93,0.0087
94,0.0084
95,0.0076
96,0.0078
97,0.0073
98,0.0074
99,0.0079
100,0.0077
101,0.0078
102,0.0079
103,0.0077
104,0.0053
105,0.0073
106,0.0075
107,0.0072
108,0.0080
109,0.0082
110,0.0079
111,0.0081
112,0.0073
113,0.0075
114,0.0083
115,0.0073
116,0.0080
117,0.0079
118,0.0079
119,0.0082
120,0.0076
121,0.0093
122,0.0095
123,0.0078
124,0.0085
125,0.0077
126,0.0077
127,0.0084
128,0.0084
129,0.0077
130,0.0085
131,0.0077
132,0.0081
133,0.0078
134,0.0086
135,0.0080
136,0.0080
137,0.0085
138,0.0084
139,0.0084
140,0.0086
141,0.0085
142,0.0081
143,0.0086
144,0.0085
145,0.0079
146,0.0080
147,0.0084
148,0.0081
149,0.0084
150,0.0085
151,0.0086
152,0.0087
153,0.0086
154,0.0088
155,0.0090
156,0.0083
157,0.0086
158,0.0084
159,0.0085
160,0.0090
161,0.0082
162,0.0087
163,0.0086
164,0.0086
165,0.0085
166,0.0086
167,0.0083
168,0.0076
169,0.0077
170,0.0091
171,0.0088
172,0.0078
173,0.0082
174,0.0080
175,0.0085
176,0.0084
177,0.0087
178,0.0083
179,0.0087
180,0.0088
181,0.0075
182,0.0089
183,0.0083
184,0.0083
185,0.0075
186,0.0081
187,0.0076
188,0.0078
189,0.0080
190,0.0081
191,0.0079
192,0.0080
193,0.0079
194,0.0076
195,0.0080
196,0.0082
197,0.0080
198,0.0076
199,0.0078
200,0.0077
201,0.0074
202,0.0077
203,0.0078
204,0.0072
205,0.0079
206,0.0078
207,0.0078
208,0.0079
209,0.0079
210,0.0077
211,0.0079
212,0.0082
213,0.0078
214,0.0081
215,0.0086
216,0.0091
217,0.0083
218,0.0087
219,0.0085
220,0.0084
221,0.0089
222,0.0086
223,0.0078
224,0.0079
225,0.0075
226,0.0078
227,0.0085
228,0.0080
229,0.0081
230,0.0079
231,0.0080
232,0.0090
233,0.0135
234,0.0080
235,0.0077
236,0.0073
237,0.0086
238,0.0081
239,0.0081
240,0.0087
241,0.0080
242,0.0095
243,0.0089
244,0.0085
245,0.0086
246,0.0084
247,0.0084
248,0.0085
249,0.0083
250,0.0087
251,0.0087
252,0.0082
253,0.0087
254,0.0088
255,0.0088
256,0.0082
257,0.0088
258,0.0081
259,0.0084
260,0.0087
261,0.0085
262,0.0086
263,0.0085
264,0.0084
